,popup,Plant state abbreviation_x,lat,lon,Plant state abbreviation_y,plant_annual_generation,state_annual_generation,perc_gen_state
253,Pine Bluff Mill,AR,34.221213,-91.907365,AR,312716,61100036.0,0.511809845742153
254,Plum Point Energy Station,AR,35.6644,-89.9489,AR,4046219,61100036.0,6.622285787196589
255,Remmel,AR,34.4272,-92.8941,AR,39429,61100036.0,0.0645318768715619
256,Riceland Foods Cogeneration Plant,AR,34.5136,-91.5331,AR,0,61100036.0,0.0
257,Scenic Hill Solar III,AR,35.46715,-93.51517,AR,9607,61100036.0,0.0157233949911257
258,"Scenic Hill Solar IV, LLC",AR,35.47056,-93.4464,AR,4027,61100036.0,0.0065908308139131
259,SR Camden,AR,33.631538,-92.703611,AR,23392,61100036.0,0.0382847564934331
260,Stuttgart Solar,AR,34.439722,-91.44,AR,164678,61100036.0,0.2695219361245548
261,Thomas Fitzhugh,AR,35.462382,-93.804926,AR,242326,61100036.0,0.3966053309690357
262,Two Pine Landfill Gas Recovery,AR,34.8332,-92.157103,AR,25590,61100036.0,0.0418821357159265
263,UA Central Utility Plant,AR,36.066336,-94.172254,AR,41981,61100036.0,0.0687086338214268
264,Union Power Station,AR,33.296146,-92.589364,AR,11206830,61100036.0,18.34177315378341
265,Waste Management Eco Vista LFGTE,AR,36.140849,-94.259713,AR,31355,61100036.0,0.0513174820387994
266,Westside Wastewater Treatment Plant Hybrid,AR,36.04135,-94.140079,AR,9238,61100036.0,0.0151194673600519
267,Whillock,AR,35.127591,-92.790273,AR,132249,61100036.0,0.2164466809806789
268,White Bluff,AR,34.4228,-92.1406,AR,7060258,61100036.0,11.555243600838468
269,White River Lock and Dam 1,AR,35.757401,-91.636887,AR,15051,61100036.0,0.0246333733747718
270,White River Lock and Dam 2,AR,35.744036,-91.765418,AR,15049,61100036.0,0.0246301000542782
271,White River Lock and Dam 3,AR,35.84361,-91.850521,AR,30108,61100036.0,0.0492765667110245
272,Actus Lend Lease DMAFB,AZ,32.1825,-110.863333,AZ,3991,108500902.0,0.0036783104346911
273,AES ES GILBERT,AZ,33.446804,-111.956261,AZ,-2199,108500902.0,-0.0020267112618105
274,Agua Caliente Solar Project,AZ,32.9774,-113.4945,AZ,706959,108500902.0,0.6515696984712624
275,Amphitheater High School Solar,AZ,32.269,-110.975,AZ,2193,108500902.0,0.0020211813538656
276,Apache Solar 1,AZ,32.068141,-109.890379,AZ,53276,108500902.0,0.0491018959455286
277,Apache Station,AZ,32.0603,-109.8931,AZ,1995501,108500902.0,1.8391561389968905
278,Arizona State University CHP,AZ,33.417222,-111.928333,AZ,36566,108500902.0,0.0337011023189466
279,Arizona Western College PV,AZ,32.687778,-114.49611,AZ,8472,108500902.0,0.0078082300182168
280,Arlington Valley Energy Facility,AZ,33.3417,-112.8897,AZ,2378008,108500902.0,2.191694222044348
281,Arlington Valley Solar Energy II,AZ,33.305,-112.833888,AZ,353288,108500902.0,0.3256083530070561
282,Avalon Solar,AZ,32.001389,-110.960556,AZ,71931,108500902.0,0.0662953013975865
283,Avalon Solar II,AZ,32.000854,-110.958427,AZ,43567,108500902.0,0.0401535832393356
284,Avra Valley Solar,AZ,32.371667,-111.282777,AZ,67215,108500902.0,0.0619487937528851
