,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
3056,Eastwood Solar,MN,10576,59157452,0.017877713867730478
3057,Eaton Corp - Arecibo - Puerto Rico Hybrid,PR,0,18578920,0.0
3058,Ebensburg Power,PA,231799,241279453,0.09607075825059998
3059,Echo Dam,UT,1152,42560283,0.0027067489189392846
3060,Echo River Solar,FL,157041,246185183,0.06378978543156272
3061,Echo Wind Park,MI,372299,115298866,0.3228990994586191
3062,Eckert Station,MI,0,115298866,0.0
3063,Eclipse Wind Farm,IA,680924,67198530,1.0133019278844344
3064,EcoElectrica,PR,3419446,18578920,18.404977253790854
3065,EcoGrove Wind LLC,IL,241427,181296239,0.13316713095190022
3066,Ector County Energy Center,TX,49902,481398138,0.010366055882002602
3067,Eddy II,TX,16150,481398138,0.0033548114803884014
3068,Eddystone Generating Station,PA,16471,241279453,0.006826524096935846
3069,Eden Solar LLC,NC,84051,129720625,0.06479385988157241
3070,Edenton Generators,NC,174,129720625,0.0001341344138605561
3071,Edenton Solar,NC,9449,129720625,0.00728411538257698
3072,Edge Moor,DE,292456,4305117,6.793218395690524
3073,Edgerton,OH,182,125609074,0.00014489399070006677
3074,Edgewater,WI,2310548,64242371,3.5966107166250136
3075,Edgewood Energy LLC,NY,137242,123769368,0.11088527170955578
3076,Edison Sault,MI,204183,115298866,0.17709020659405272
3077,Edison Solar,SC,9721,98113889,0.009907873491794826
3078,Edom Hills Project 1 LLC,CA,25666,196943237,0.013032181450333327
3079,Edward C Hyatt,CA,288723,196943237,0.14660213998615246
3080,Edward L. Addison Generating Plant,GA,260892,124199660,0.21005854605399082
3081,Edwards Air Force Base,CA,1686,196943237,0.0008560842330422344
3082,Edwards Sanborn E2,CA,4527,196943237,0.0022986318641650028
3083,Edwards Sanborn E3,CA,1172,196943237,0.0005950953268834512
3084,Edwardsport,IN,3840179,94126593,4.079802399732029
3085,Edwardsville Solar II,IL,1413,181296239,0.0007793873760392789
3086,Edwin I Hatch,GA,14165068,124199660,11.405077920503164
3087,Eel Weir,NY,7845,123769368,0.006338401921871331
3088,Effingham Energy Facility,GA,2694606,124199660,2.1695759875671157
3089,Effley,NY,13741,123769368,0.011102100804134348
3090,Egret Solar Center,FL,148906,246185183,0.06048536235424047
3091,Eichtens Community Solar,MN,7319,59157452,0.012372067681346384
3092,Eichtens II CSG,MN,1869,59157452,0.0031593652816554706
3093,Eielson AFB Central Heat & Power Plant,AK,73952,6595656,1.1212228169571004
3094,Eight Flags Energy,FL,160083,246185183,0.06502544062531984
3095,Eklutna Generation Station,AK,678550,6595656,10.287831869945915
3096,Eklutna Hydro Project,AK,139994,6595656,2.122518215019097
3097,Ekola Flats,WY,736904,43460723,1.6955631409997483
3098,El Cabo Wind,NM,1207714,35073576,3.4433728685093303
3099,El Cajon Energy Center,CA,6659,196943237,0.0033811772881543528
3100,El Cajon Energy Storage,CA,-783,196943237,-0.0003975764854519985
3101,El Campo Wind,TX,872837,481398138,0.1813129156723078
3102,El Centro Hybrid,CA,952727,196943237,0.4837571548598036
3103,El Dorado,CA,28752,196943237,0.014599130408321663
3104,El Dorado County,CA,2280,196943237,0.0011576939806265093
3105,El Dorado Hydro Elk Creek,ID,2545,16834340,0.015117907800365205
3106,El Dorado Refinery,KS,204413,56572967,0.36132628504352615
3107,"El Dorado Solar, LLC",CA,649,196943237,0.00032953657606430017
3108,El Dorado Springs Solar Farm,MO,4455,76941313,0.005790127340301562
3109,El Nido Facility,CA,54001,196943237,0.027419575722724614
3110,El Segundo,CA,202972,196943237,0.10306116782268589
3111,El Segundo Cogen,CA,1055859,196943237,0.536123512583476
3112,El Vado Dam,NM,8285,35073576,0.023621771558166752
3113,El Yunque Filtration Plant,PR,2909,18578920,0.015657530147069904
3114,Elara Solar,TX,38488,481398138,0.007995045464841411
3115,Elbe Solar Center,OR,22281,61016793,0.03651617678431575
3116,Elbow Creek Wind Project LLC,TX,421884,481398138,0.08763723136793687
3117,Electra,CA,171175,196943237,0.08691590663760644
3118,Electra Wind Farm,TX,891444,481398138,0.18517811549989832
3119,Electric Avenue Facility,VA,472,93102970,0.0005069655672638585
3120,Electric City Solar,MI,26378,115298866,0.02287793533025728
3121,Electrifarm,IA,8846,67198530,0.013163978438218812
3122,Electron,WA,0,110808277,0.0
3123,Elephant Butte,NM,14583,35073576,0.041578309551327186
3124,Elevation Solar C,CA,109280,196943237,0.05548806938722146
3125,Elgin Energy Center LLC,IL,496716,181296239,0.2739803113069544
3126,Elim,AK,1353,6595656,0.02051350161378944
3127,Elizabeth Mines Solar 1,VT,8633,2107642,0.40960466720629024
3128,Elizabeth River Power Station,VA,43908,93102970,0.04716068671063877
3129,Elizabethtown Solar,PA,2937,241279453,0.0012172607171817486
3130,Elk Basin Gasoline Plant,WY,8814,43460723,0.020280380517369672
3131,Elk City LLC,OK,633361,80754539,0.7843039014810054
3132,Elk City Station,NE,49872,37910817,0.13155084471009948
3133,Elk Hill Solar 2,PA,27352,241279453,0.011336232596648003
3134,Elk Hills Cogen,CA,7448,196943237,0.0037818003367132633
3135,Elk Hills Power LLC,CA,3778136,196943237,1.9183882917492616
3136,Elk Mound,WI,63188,64242371,0.09835876076242578
3137,Elk River,MN,75781,59157452,0.1281005138625646
3138,Elk River City of,MN,21978,59157452,0.03715170153034989
3139,Elk River Wind,KS,298842,56572967,0.5282416953666227
3140,Elk Station,TX,321210,481398138,0.06672439601334727
3141,Elk Wind Farm,IA,133953,67198530,0.1993391819731771
3142,Elkhart,IN,2747,94126593,0.0029184101032956756
3143,Elkhorn Ridge Wind LLC,NE,166612,37910817,0.43948406598570533
3144,Elkhorn Valley Wind Farm,OR,344536,61016793,0.5646576672753024
3145,Elkins Generating Center,AR,2595,61100036,0.004247133340477901
3146,Elkton,VA,10584,93102970,0.01136805839813703
3147,Elkton Solar,MD,2298,38166683,0.006020958122035389
3148,Ellenburg,NY,141916,123769368,0.1146616503689346
3149,Ellerbe,NC,3167,129720625,0.0024414005097493172
3150,Ellettsville Solar RES,IN,1313,94126593,0.0013949299110401245
3151,Elliana Solar,NC,9120,129720625,0.007030493416139492
3152,Ellinwood,KS,242,56572967,0.0004277661449151147
3153,Ellis Hydro,AR,134235,61100036,0.2196970882308482
3154,Ellis Solar,NY,28172,123769368,0.022761690113825256
3155,Ellsworth Hydro Station,ME,26322,10900855,0.24146729774866282
3156,Ellsworth I CSG,NY,3468,123769368,0.0028019857061886266
3157,Ellwood,CA,1876,196943237,0.0009525587314277769
3158,Elm Branch Solar 1,TX,37854,481398138,0.00786334574480635
3159,Elm City Solar Facility,NC,78435,129720625,0.06046455604110757
3160,Elm Creek Wind II LLC,MN,252749,59157452,0.4272479484072438
3161,Elm Creek Wind LLC,MN,156218,59157452,0.2640715492614523
3162,Elm Road Generating Station,WI,7703887,64242371,11.991909514049535
3163,"Elm Solar, LLC",NC,8856,129720625,0.006826979133040718
3164,Elm Street,MA,7509,19429320,0.03864777562982132
3165,Elm Street Substation Generators,MO,57,76941313,7.408243735065972e-05
3166,Elmer,NY,9602,123769368,0.007757977725150864
3167,Elmore Company,CA,372382,196943237,0.18908087714634242
3168,Elmwood Park Power LLC,NJ,0,61421718,0.0
3169,Elroy,WI,89,64242371,0.00013853785066556774
3170,Elroy Solar,WI,2300,64242371,0.003580191646413548
3171,Eltopia Branch Canal 4.6,WA,8194,110808277,0.007394754455030467
3172,Elwood Energy LLC,IL,836568,181296239,0.4614370406216755
3173,Elwood Energy Storage Center,IL,-869,181296239,-0.0004793259941812692
3174,Emerson,NE,37,37910817,9.75974746205021e-05
3175,Emery Station,IA,1944548,67198530,2.8937359195208585
3176,Emmitsburg Solar Arrays,MD,2832,38166683,0.0074200841608373464
3177,Emmonak,AK,5927,6595656,0.08986217595338508
3178,"Emmons-Logan Wind, LLC",ND,731473,43032351,1.6998211415406983
3179,Emory Decatur Hospital,GA,20,124199660,1.6103103663890868e-05
3180,Emory Hillandale Hospital,GA,8,124199660,6.441241465556347e-06
3181,Empire Energy Center,MO,230946,76941313,0.30015864169097295
3182,Empire Generating Co LLC,NY,3463565,123769368,2.798402428620303
3183,Empire Solar,MN,8490,59157452,0.014351530894197403
3184,Emporia,VA,7280,93102970,0.007819299427290021
3185,Emporia Energy Center,KS,311841,56572967,0.5512191008118772
3186,Encina Water Pollution Control,CA,14496,196943237,0.007360496466299069
3187,Encino Solar Energy Center,NM,144432,35073576,0.41179718885807365
3188,Encogen,WA,530479,110808277,0.4787358980412627
3189,Enderlin,ND,1764,43032351,0.00409924152180298
3190,Enel Cove Fort,UT,149978,42560283,0.35238957410128124
3191,"Energix Buckingham, LLC",VA,14273,93102970,0.015330338011773416
3192,"Energix Hollyfield, LLC",VA,9104,93102970,0.00977842060247917
3193,"Energix Leatherwood, LLC",VA,12648,93102970,0.01358495867532475
3194,Energy Center,CA,6474,196943237,0.003287241592357904
3195,Energy Center Dover,DE,120682,4305117,2.803222304991943
3196,Energy Shelby County,IL,316242,181296239,0.17443384470871456
3197,Enerparc CA1 LLC,CA,3260,196943237,0.0016552992880887807
3198,Enfield Community Solar,NY,2352,123769368,0.0019003086450275807
3199,Engelhard Solar LLC,NJ,867,61421718,0.0014115528321757462
3200,Engineered Carbons Borger Cogen,TX,77096,481398138,0.016015018321487565
3201,English Farms,IA,584261,67198530,0.8694550312335702
3202,Enloe Medical - Chico,CA,7522,196943237,0.003819374615031843
3203,Ennis Power Company LLC,TX,984037,481398138,0.20441229874470349
3204,"Ennis Solar, LLC",NC,8109,129720625,0.006251126218363502
3205,Enoree Phase II Landfill Gas Recovery,SC,11584,98113889,0.011806687226514892
3206,Ensign Wind LLC,KS,373823,56572967,0.6607802627710865
3207,Enter Solar,MN,0,59157452,0.0
3208,Enterprise Products Operating,TX,109290,481398138,0.02270262208617018
3209,"Enterprise Solar, LLC",UT,220536,42560283,0.5181732461694393
3210,Enterprise Sugar Factory,LA,0,96954180,0.0
3211,Eolos Wind Energy Research Field Station,MN,2945,59157452,0.004978240104053164
3212,Ephratah,NY,12968,123769368,0.010477552087039824
3213,Epic Verona,WI,2711,64242371,0.004219956327577013
3214,Equilon Los Angeles Refining,CA,412760,196943237,0.20958323133482365
3215,Equinix - Billerica,MA,1941,19429320,0.009990056265479183
3216,Equinix Caspian Dr. Fuel Cell,CA,36990,196943237,0.018782061554111655
3217,Equinix Douglas St. Fuel Cell,CA,15066,196943237,0.007649919961455695
3218,Equinix Great Oaks Blvd. Fuel Cell,CA,32777,196943237,0.016642866492541708
3219,Equinix Lundy Ave. Fuel Cell,CA,24974,196943237,0.012680811172002824
3220,Equinix Maple Ave. Fuel Cell,CA,7471,196943237,0.003793478828623092
3221,Equinix San Jose,CA,6654,196943237,0.0033786384855652592
3222,Equity Industrial Turbines,MA,6570,19429320,0.033814873603399395
3223,Equuleus Community Solar Gardens,MN,7575,59157452,0.01280481113351535
3224,Equus Freeport Power,NY,78616,123769368,0.06351813964178923
3225,Ergon Refining Vicksburg,MS,38224,67723484,0.05644127818350279
3226,Erickson Station,MI,699049,115298866,0.6062930402108204
3227,Erie,KS,8,56572967,1.4141029583970733e-05
3228,Erie Energy Center,KS,1528,56572967,0.0027009366505384097
3229,Erin Garden Solar,MN,1836,59157452,0.0031035819460243147
3230,"Eros Solar, LLC",NC,10292,129720625,0.007933973491108295
3231,Errol Hydroelectric Project,NH,9796,17193202,0.056976007145149575
3232,Erving CSG,MA,1502,19429320,0.007730584498067868
3233,Erving Paper Mills,MA,40793,19429320,0.20995588111163951
3234,Erwin Farm,NC,6834,129720625,0.0052682447374887385
3235,"Escalante Solar I, LLC",UT,207278,42560283,0.4870221375172717
3236,"Escalante Solar II, LLC",UT,209377,42560283,0.4919539656256515
3237,"Escalante Solar III, LLC",UT,195299,42560283,0.458876178055489
3238,Escanaba Mill,MI,489863,115298866,0.4248636755889689
3239,Escondido Energy Center,CA,8675,196943237,0.00440482249207674
3240,Escondido Energy Storage,CA,-3875,196943237,-0.001967572006547247
3241,Essential Power Massachusetts LLC,MA,5915,19429320,0.030443679964095503
3242,Essential Power Rock Springs LLC,MD,235889,38166683,0.6180495171665822
3243,Essex,MO,35810,76941313,0.046541966342581134
3244,Essex County Correctional Facility Cogen,NJ,26056,61421718,0.04242147704172
3245,Essex Junction 19,VT,34537,2107642,1.6386559007649306
3246,Essex Solar Center,VA,41385,93102970,0.04445078390087878
3247,Estes,CO,115410,56832513,0.20307037980178705
3248,Estherville,IA,390,67198530,0.0005803698384473589
3249,Estill Solar,SC,39382,98113889,0.04013906736486615
3250,Estill Solar II,SC,18859,98113889,0.0192215395722414
3251,Estrella Mountain PV,AZ,3987,108500902,0.003674623829394524
3252,Etiwanda,CA,0,196943237,0.0
3253,Eubank Landfill Solar Array,NM,0,35073576,0.0
3254,"Euclid Farm, Stamco N-54",OH,780,125609074,0.0006209742458574291
3255,Eufaula Dam,OK,316773,80754539,0.3922664953854792
3256,Eurus Combine Hills Turbine Ranch 2,OR,146035,61016793,0.239335751388966
3257,Eva Creek Wind,AK,56648,6595656,0.8588683218166624
3258,Evander Andrews Power Complex,ID,484312,16834340,2.876928944051267
3259,Evanston Township High School,IL,0,181296239,0.0
3260,Everett PV1,NC,19527,129720625,0.01505311896238551
3261,"Everetts Wildcat Solar, LLC",NC,10105,129720625,0.007789817540579997
3262,Evergreen BioPower LLC,OR,54504,61016793,0.08932622860070669
3263,Evonik Industries AG,IN,7,94126593,7.4367931281651724e-06
3264,"Ewington Energy Systems, LLC",MN,4924,59157452,0.008323549837812487
3265,Exchequer,CA,134450,196943237,0.06826840162071673
3266,Exelon Framingham LLC,MA,597,19429320,0.003072675729258667
3267,Exelon LaPorte Generating Station,TX,97000,481398138,0.020149641708834362
3268,Exelon Medway LLC,MA,1452,19429320,0.007473241472166808
3269,Exelon Solar Chicago,IL,13176,181296239,0.007267663175296207
3270,Exelon West Medway II LLC,MA,190906,19429320,0.9825665540533586
3271,Exeter Solar,CA,6191,196943237,0.003143545365815227
3272,Exira,IA,123414,67198530,0.1836558031849804
3273,Expander Turbine,IN,34691,94126593,0.036855684344168284
3274,Expressway Solar A,CA,4926,196943237,0.002501228310774642
3275,Expressway Solar B,CA,3875,196943237,0.001967572006547247
3276,Expressway Solar C2,CA,2528,196943237,0.0012836185890455329
3277,Extreme San Ignacio,CA,7595,196943237,0.003856441132832604
3278,Extreme Via Del Oro,CA,9689,196943237,0.004919691657144846
3279,"Exum Farm Solar, LLC",NC,8276,129720625,0.006379864420172197
3280,ExxonMobil Baton Rouge Turbine Generator,LA,651507,96954180,0.6719741222090683
3281,ExxonMobil Baytown Refinery,TX,1203232,481398138,0.24994529580004315
3282,ExxonMobil Baytown Turbine,TX,2439762,481398138,0.5068075273693726
3283,ExxonMobil Beaumont Refinery,TX,4143471,481398138,0.8607160420716042
3284,ExxonMobil Oil Joliet Refinery,IL,186182,181296239,0.10269490477405877
3285,ExxonMobil Santa Ynez Facility,CA,0,196943237,0.0
3286,Eyak Service Center BESS,AK,-85,6595656,-0.0012887270045617903
3287,F B Culley,IN,2118170,94126593,2.2503417286122316
3288,F.D. Kuester Generating Station,MI,527821,115298866,0.45778507483325986
3289,FAA NorCal TRACON,CA,1275,196943237,0.0006473946602187715
3290,FCPC Renewable Generation,WI,5242,64242371,0.008159723743695575
3291,FDX010.0 FedEx Fuel Cell,CT,7823,44079902,0.017747317133327566
3292,FECC Solar Benton,AR,1434,61100036,0.0023469707939288284
3293,FELPS 1 - Calaveras,TX,1556,481398138,0.00032322518040150787
3294,FELPS 2 - Calaveras,TX,1690,481398138,0.0003510607679168049
3295,FELPS 3 - Floresville South,TX,971,481398138,0.00020170414535338314
3296,FELPS 4 - Floresville South,TX,1064,481398138,0.0002210228740020594
3297,FELPS 5- Floresville South,TX,982,481398138,0.00020398915626881797
3298,FELPS 6- Floresville West,TX,807,481398138,0.0001676367098869003
3299,FELPS 7- Floresville West,TX,1140,481398138,0.00023681022214506366
3300,FIU Solar,FL,673,246185183,0.00027337144819150226
3301,"FL Solar 4, LLC",FL,61897,246185183,0.025142455466135832
3302,FLEX Gibraltar,CA,6968,196943237,0.003538075288160314
3303,"FLS Solar 170, LLC",NC,3383,129720625,0.002607912195921042
3304,"FLS Solar 200, LLC",NC,5985,129720625,0.004613761304341542
3305,FLS Solar 230 (Warren),NC,8553,129720625,0.006593400239938715
3306,FPL Energy Ashtabula Wind LLC,ND,601559,43032351,1.397922693091995
3307,FPL Energy Burleigh County Wind,ND,191166,43032351,0.4442378711774312
3308,FPL Energy Crystal Lake Wind II LLC,IA,684718,67198530,1.0189478847230735
3309,FPL Energy Crystal Lake Wind LLC,IA,524454,67198530,0.7804545724437723
3310,FPL Energy Illinois Wind LLC Hybrid,IL,672017,181296239,0.3706734368604304
3311,FPL Energy Montezuma Winds LLC,CA,107479,196943237,0.05457359269463007
3312,FPL Energy North Dakota Wind I/II,ND,104610,43032351,0.2430961766416155
3313,FPL Energy Oliver Wind I LLC,ND,181891,43032351,0.42268431952509405
3314,FPL Energy Oliver Wind II LLC,ND,191994,43032351,0.4461620049529713
3315,FPL Energy Story Wind LLC,IA,553834,67198530,0.8241757669401399
3316,FPL Energy Vansycle LLC (OR),OR,124422,61016793,0.20391435518415396
3317,FPL Energy Vansycle LLC (WA),WA,179237,110808277,0.16175416210108565
3318,FRB Solar Farm,AZ,843,108500902,0.0007769520662602418
3319,FRV SI Transport Solar LP,CA,1185,196943237,0.0006016962136150936
3320,FTF-PackingShed,CA,1118,196943237,0.0005676762589212444
3321,Facebook 1 Solar Energy Center,NM,26830,35073576,0.07649633444847483
3322,Facebook 2 Solar Energy Center,NM,27675,35073576,0.07890555556696016
3323,Facebook 3 Solar Energy Center,NM,27449,35073576,0.0782611958358623
3324,Facile Solar,NC,2505,129720625,0.0019310730271304196
3325,Factory,IL,110,181296239,6.067417647864168e-05
3326,Fair Wind,MD,94521,38166683,0.24765316912659135
3327,Fairbanks,AK,9024,6595656,0.1368173234019482
3328,Fairbanks Morse Engine,WI,10,64242371,1.5566050636580645e-05
3329,Fairfax,MN,8,59157452,1.352323288028024e-05
3330,Fairfax Falls,VT,16602,2107642,0.7877049328111699
3331,Fairfield PV - BD Solar Fairfield LLC,ME,3860,10900855,0.03541006645808976
3332,Fairfield Pumped Storage,SC,-155376,98113889,-0.15836290007829576
3333,Fairfield University CHP Plant,CT,22147,44079902,0.05024285217331019
3334,Fairfield Wind,MT,27531,24947875,0.1103540882740514
3335,Fairgrounds,MO,3243,76941313,0.004214900777687534
3336,Fairhaven C CSG,MA,2593,19429320,0.013345809323229017
3337,Fairhaven E,MA,496,19429320,0.002552842816938524
3338,Fairhaven MA 2,MA,933,19429320,0.004802020863313796
3339,Fairhaven Power,CA,0,196943237,0.0
3340,Fairhaven Wind,MA,4764,19429320,0.02451964350785308
3341,Fairless Energy Center,PA,7460496,241279453,3.0920560815429234
3342,Fairmont (MN),MN,15552,59157452,0.026289164719264783
3343,Fairmont Wind,MN,13830,59157452,0.023378288841784466
3344,Fairmont-FLS 100,NC,6223,129720625,0.004797232514104831
3345,Fairview Farms Solar,MA,2824,19429320,0.014534734102891918
3346,Faison Solar,NC,3147,129720625,0.002425982761029713
3347,Fajardo MSWL,PR,0,18578920,0.0
3348,Falcon Dam & Power,TX,48126,481398138,0.009997130483292397
3349,Fall Creek,CA,8221,196943237,0.004174299216987075
3350,Fall River Solar CSG,MA,2692,19429320,0.013855348514513118
3351,Falling Spring,PA,2099,241279453,0.000869945606184709
3352,Falls,PA,186,241279453,7.708903418311381e-05
3353,Falls City,NE,457,37910817,0.001205460700042418
3354,Falls Creek,OR,14287,61016793,0.023414865478098793
3355,Falls Creek Garden,MN,1774,59157452,0.002998776891202143
3356,Falls Hydro,NC,137683,129720625,0.10613809484806291
3357,Falls River Hydro,ID,37294,16834340,0.22153526660385853
3358,Falls Village,CT,52290,44079902,0.11862549059206166
3359,Falmouth Landfill Solar,MA,4074,19429320,0.02096830975041844
3360,False Island,AK,696,6595656,0.010552399943235365
3361,Faraday,OR,-273,61016793,-0.0004474178116834164
3362,Fargo Drop,ID,3040,16834340,0.018058326016939182
3363,Faribault Energy Park,MN,732358,59157452,1.2379809732170344
3364,Farley Road Community Solar,MA,1606,19429320,0.008265857991942075
3365,Farmer City,IL,43,181296239,2.3718087168923564e-05
3366,Farmers Branch Renewable Energy Facility,TX,24498,481398138,0.005088927036938394
3367,Farmers City Wind LLC,MO,204009,76941313,0.2651488414293112
3368,Farmers Electric Cooperative - Kalona,IA,363,67198530,0.0005401903880933109
3369,Farmersville,CA,7836,196943237,0.003978811417626897
3370,Farmington Holdco Solar,MN,8343,59157452,0.014103041490022254
3371,Farmington Solar,ME,16251,10900855,0.14908004922549653
3372,Farmington Solar Farm,MO,4011,76941313,0.005213064144096423
3373,Farrington Farm,NC,1467,129720625,0.0011308918685829644
3374,FastSun 1 CSG,MN,1775,59157452,0.003000467295312178
3375,FastSun 10 CSG,MN,1750,59157452,0.0029582071925613024
3376,FastSun 11 CSG,MN,1603,59157452,0.0027097177883861527
3377,FastSun 13 CSG,MN,1943,59157452,0.003284455185798063
3378,FastSun 14 CSG,MN,1993,59157452,0.0033689753912998148
3379,FastSun 18 CSG,MN,1514,59157452,0.0025592718225930355
3380,FastSun 19 CSG,MN,1705,59157452,0.002882139007609726
3381,FastSun 2 CSG,MN,1800,59157452,0.003042727398063054
3382,FastSun 21 CSG,MN,1112,59157452,0.0018797293703589533
3383,FastSun 3 CSG,MN,1521,59157452,0.0025711046513632804
3384,FastSun 4 CSG,MN,827,59157452,0.0013979641989989697
3385,FastSun 5 CSG,MN,1709,59157452,0.0028889006240498663
3386,FastSun 7 CSG,MN,1803,59157452,0.003047798610393159
3387,FastSun 8 CSG,MN,2049,59157452,0.0034636380214617766
3388,FastSun 9 CSG,MN,1562,59157452,0.0026404112198747166
3389,FastSun12 CSG,MN,1023,59157452,0.0017292834045658358
3390,Faulkton,SD,-45,17322385,-0.0002597794703212058
3391,Fayette,MO,0,76941313,0.0
3392,Fayette Energy Facility,PA,4987665,241279453,2.0671735359081738
3393,Fayette Power Project,TX,10281366,481398138,2.1357303214164074
3394,Feather River Energy Center,CA,81312,196943237,0.04128702322486961
3395,FedEx Chicago Solar Facility,IL,1910,181296239,0.0010535243370382327
3396,FedEx Field Solar Facility,MD,2158,38166683,0.005654146051937497
3397,FedEx Woodbridge,NJ,2049,61421718,0.0033359535791558288
3398,"Federal Road Solar 1, LLC CSG",MA,7228,19429320,0.03720150782425736
3399,Feeder Dam Hydro Plant,NY,22870,123769368,0.01847791611895441
3400,Felt,ID,22416,16834340,0.13315639341964103
3401,Felton CSG PV1-5,MN,8055,59157452,0.013616205106332165
3402,Fenner Wind,NY,73372,123769368,0.05928122699955938
3403,Fennimore,WI,44,64242371,6.849062280095484e-05
3404,Fennimore Solar,WI,4193,64242371,0.006526845031918265
3405,Fenton Wind Farm,MN,308670,59157452,0.5217770366445127
3406,Fermi,MI,9369368,115298866,8.12615797973243
3407,Fern Solar LLC,NC,232696,129720625,0.17938242280285036
3408,Fernandina Beach Mill,FL,636107,246185183,0.2583855747321723
3409,Fernandina Plant,FL,236955,246185183,0.09625071546243301
3410,Ferndale Generating Station,WA,1361002,110808277,1.228249402343834
3411,Few Solar,CT,1363,44079902,0.0030921121376358777
3412,Fey Windfarm LLC,MN,4570,59157452,0.007725146782860086
3413,"Fiber Recovery, Inc.",WI,15762,64242371,0.024535209013378412
3414,Fiddler's Canyon #1,UT,6161,42560283,0.014475937577764695
3415,Fiddler's Canyon #2,UT,5932,42560283,0.013937877245788051
3416,Fiddler's Canyon 3,UT,7103,42560283,0.01668926872502234
3417,Field Street,FL,-100,246185183,-4.061982885460657e-05
3418,Fife Brook,MA,32192,19429320,0.16568773379613905
3419,Fighting Creek LFGTE Plant,ID,13736,16834340,0.08159512045022257
3420,Filet Wind (5) LLC,TX,282,481398138,5.857937074114732e-05
3421,Finch Paper,NY,117606,123769368,0.0950202799775143
3422,"Finchville Solar, LLC Hybrid CSG",NY,4227,123769368,0.003415223062300843
3423,Findlay Wind Farm,OH,7400,125609074,0.005891294127365353
3424,Finger Lakes Solar I,NY,3440,123769368,0.0027793629842240127
3425,Finley Buttes Landfill Gas,OR,38949,61016793,0.0638332466932505
3426,Fire Island Wind,AK,41759,6595656,0.6331288350999507
3427,Firebaugh-CCS-PV-1,CA,1239,196943237,0.0006291152815773004
3428,Firestone Walker Brewery - Phase 1,CA,2647,196943237,0.0013440420906659517
3429,First Baptist Church of Glenarden,MD,2901,38166683,0.007600870109671307
3430,FirstEnergy Bay Shore,OH,974210,125609074,0.7755888718676487
3431,FirstEnergy Fort Martin Power Station,WV,5208498,65836039,7.91131738651531
3432,FirstEnergy Harrison Power Station,WV,11494151,65836039,17.458752340796202
3433,"Firwood Solar, LLC",OR,18746,61016793,0.03072268973559459
3434,Fish Creek,OR,12240,61016793,0.020060051337014714
3435,Fisher Road Solar,MA,7848,19429320,0.04039256134543052
3436,Fisher Solar Farm - NC,NC,9020,129720625,0.006953404672541472
3437,Fishers Island 1,NY,144,123769368,0.00011634542724658656
3438,Fishing Creek,SC,153872,98113889,0.15682998764833386
3439,Fisk Street,IL,-584,181296239,-0.00032212471875933403
3440,Fitchburg,WI,586,64242371,0.0009121705673036259
3441,Fitchburg Gas Recovery,MA,37239,19429320,0.19166393883059213
3442,Fitchburg Renewables,MA,6111,19429320,0.03145246462562766
3443,Five Channels,MI,21402,115298866,0.018562194705366835
3444,Five Falls,NY,90803,123769368,0.0733646793768875
3445,Five Forks Solar,NC,41463,129720625,0.031963305758047345
3446,Five H Farms Solar Array,CA,619,196943237,0.00031430376052974084
3447,Five Oaks Gas Recovery,IL,21044,181296239,0.011607521543786687
3448,Five Points Solar Park,CA,141839,196943237,0.0720202440868787
3449,Five Points Solar Station,CA,20947,196943237,0.010636059566747144
3450,Flambeau Crowley Rapids Project,WI,4633,64242371,0.0072117512599278125
3451,Flambeau Hydroelectric Station,WI,60472,64242371,0.09413102140953047
3452,Flambeau Lower Project,WI,3483,64242371,0.005421655436721039
3453,Flambeau Solar Partners,WI,4655,64242371,0.0072459965713282904
3454,Flaming Gorge,UT,311184,42560283,0.7311605517284742
3455,Flash Solar,NC,8333,129720625,0.006423805004023069
3456,Flat Iron Wind (7) LLC,TX,7406,481398138,0.0015384355308827554
3457,Flat Meeks PV 1,NC,8714,129720625,0.006717513117131528
3458,Flat Ridge 2 Wind Energy LLC,KS,1719670,56572967,3.0397380430833687
3459,Flat Ridge 3,KS,36756,56572967,0.06497096042355353
3460,Flat Ridge Wind Energy LLC,KS,184449,56572967,0.3260373457167272
3461,Flat Ridge Wind Farm,KS,47580,56572967,0.08410377345066594
3462,Flat Rock,NY,14452,123769368,0.01167655635116437
3463,Flat Top Wind I,TX,720455,481398138,0.14965886718905422
3464,Flat Water Wind Farm LLC,NE,205771,37910817,0.542776485138793
3465,Flathead Landfill to Gas Energy Facility,MT,11557,24947875,0.04632458676340169
3466,Flatiron,CO,215393,56832513,0.3789960862719549
3467,Flatwood Farm,NC,9106,129720625,0.007019700992035769
3468,Fleish,NV,14274,41598742,0.03431353765457619
3469,Flemington Solar,NJ,11841,61421718,0.019278197330787783
3470,Flemming Solar Center LLC,NC,9222,129720625,0.007109123934609473
3471,Flint Creek,AR,2805375,61100036,4.5914457399010375
3472,Flint Creek Hydroelectric LLC,MT,10975,24947875,0.04399172274191689
3473,"Flint Hill Solar, LLC",NC,8946,129720625,0.006896359002278936
3474,"Flint Hills Resources Pine Bend, LLC",MN,0,59157452,0.0
3475,Flint River,GA,42447,124199660,0.03417642206105878
3476,Flint River Operations,GA,458211,124199660,0.36893096164675493
3477,Flodquist Community Solar LLC CSG,MN,757,59157452,0.0012796359112965177
