,Plant name,Plant state abbreviation,plant_annual_generation,state_annual_generation,perc_gen_state
511,Arapahoe Combustion Turbine Project,CO,202945,56832513,0.357093130828123
512,"Ararat Rock Solar, LLC",NC,6042,129720625,0.004657701888192413
513,"Arba Solar, LLC",NC,2396,129720625,0.001847046296608577
514,Arbor Hill Wind Farm,IA,1120899,67198530,1.6680409526815543
515,Arborgate Solar,NC,9441,129720625,0.007277948283089138
516,Arbuckle Mountain Wind Farm LLC,OK,361993,80754539,0.4482633477729345
517,Arcadia Electric,WI,278,64242371,0.0004327362076969419
518,Arcadia Solar,WI,8824,64242371,0.01373548308171876
519,Arcanum,OH,0,125609074,0.0
520,Arcanum Peaking,OH,89,125609074,7.08547536939887e-05
521,ArcelorMittal Burns Harbor,IN,939207,94126593,0.9978125947892325
522,Arcelormittal Cleveland Inc,OH,149946,125609074,0.11937513367863853
523,Archbald Power Station,PA,168066,241279453,0.06965615924203873
524,Archdiocese of Baltimore J,MD,3471,38166683,0.009094319252212721
525,Archdiocese of Baltimore L,MD,3500,38166683,0.009170301752447286
526,Archer Daniels Midland Cedar Rapids,IA,941677,67198530,1.4013357137425475
527,Archer Daniels Midland Clinton,IA,734505,67198530,1.093037303048147
528,Archer Daniels Midland Columbus,NE,272515,37910817,0.7188317782758414
529,Archer Daniels Midland Decatur,IL,1085111,181296239,0.5985292392083214
530,Archer Daniels Midland Des Moines,IA,21312,67198530,0.03171497947946183
531,Archer Daniels Midland Lincoln,NE,29352,37910817,0.07742381283948589
532,Archer Daniels Midland Mankato,MN,21156,59157452,0.03576218935190109
533,Archer Daniels Midland Peoria,IL,50554,181296239,0.027884748342738647
534,Archer Daniels Midland Southport,NC,0,129720625,0.0
535,Arecibo Filtration Plant,PR,1769,18578920,0.009521543771112638
536,Argo Navis Community Solar,MN,4437,59157452,0.007500323036225429
537,Argonne National Laboratory CHP,IL,32051,181296239,0.017678800275608586
538,Argus Cogen Plant,CA,304525,196943237,0.15462577168872269
539,Argyle,WI,217,64242371,0.0003377832988138
540,Aries Community Solar,MN,6736,59157452,0.01138656208519596
541,Arizona State University CHP,AZ,36566,108500902,0.03370110231894662
542,Arizona Western College PV,AZ,8472,108500902,0.007808230018216807
543,Arkalon Ethanol LLC,KS,12424,56572967,0.02196101894390655
544,Arkansas Nuclear One,AR,13555683,61100036,22.186047484489208
545,Arkwright Summit Wind Farm LLC,NY,233519,123769368,0.18867269323052535
546,Arlington Microgrid,WA,546,110808277,0.0004927429744259989
547,Arlington Outlet Hydroelectric Generator,TX,768,481398138,0.00015953530755035867
548,Arlington Valley Energy Facility,AZ,2378008,108500902,2.191694222044348
549,Arlington Valley Solar Energy II,AZ,353288,108500902,0.3256083530070561
550,Arlington Wind Power Project,OR,226513,61016793,0.37123058892983773
551,"Armadillo Flats Wind Project, LLC",OK,953603,80754539,1.1808661306332267
552,Armenia Mountain Wind Farm,PA,236583,241279453,0.0980535213663635
553,Armstrong,PA,1089576,241279453,0.4515825887586043
554,Armstrong Solar,MN,5306,59157452,0.008969284207845868
555,Arndt Farm,NC,5518,129720625,0.004253756871738785
556,Arnold,NE,0,37910817,0.0
